id,grid_solution,steps
lgp-test-5x4-2,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""People use unique phone models"", ""Each person has an occupation""], ""rows"": [[""1"", ""eric"", ""green"", ""google pixel 6"", ""teacher""], [""2"", ""bob"", ""blue"", ""samsung galaxy s21"", ""doctor""], [""3"", ""peter"", ""red"", ""huawei p50"", ""artist""], [""4"", ""alice"", ""yellow"", ""oneplus 9"", ""lawyer""], [""5"", ""arnold"", ""white"", ""iphone 13"", ""engineer""]]}",39
lgp-test-4x4-21,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""Each person has a unique birthday month"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""alice"", ""honda civic"", ""sept"", ""photography""], [""2"", ""arnold"", ""tesla model 3"", ""april"", ""painting""], [""3"", ""eric"", ""ford f150"", ""feb"", ""cooking""], [""4"", ""peter"", ""toyota camry"", ""jan"", ""gardening""]]}",43
lgp-test-5x6-0,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""The people keep unique animals"", ""People use unique phone models"", ""People have unique hair colors"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""arnold"", ""tennis"", ""fish"", ""oneplus 9"", ""gray"", ""victorian""], [""2"", ""eric"", ""basketball"", ""cat"", ""iphone 13"", ""red"", ""craftsman""], [""3"", ""peter"", ""baseball"", ""bird"", ""samsung galaxy s21"", ""blonde"", ""modern""], [""4"", ""alice"", ""soccer"", ""dog"", ""google pixel 6"", ""black"", ""ranch""], [""5"", ""bob"", ""swimming"", ""horse"", ""huawei p50"", ""brown"", ""colonial""]]}",2012
lgp-test-2x3-9,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house"", ""People use unique phone models""], ""rows"": [[""1"", ""eric"", ""victorian"", ""samsung galaxy s21""], [""2"", ""arnold"", ""colonial"", ""iphone 13""]]}",7
lgp-test-5x5-12,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a favorite smoothie"", ""People have unique favorite music genres"", ""Everyone has something unique for lunch"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""arnold"", ""lime"", ""pop"", ""grilled cheese"", ""tea""], [""2"", ""alice"", ""dragonfruit"", ""classical"", ""stew"", ""root beer""], [""3"", ""bob"", ""cherry"", ""hip hop"", ""pizza"", ""water""], [""4"", ""eric"", ""watermelon"", ""rock"", ""stir fry"", ""coffee""], [""5"", ""peter"", ""desert"", ""jazz"", ""spaghetti"", ""milk""]]}",74
lgp-test-3x5-16,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique favorite drink"", ""People have unique favorite sports"", ""The people keep unique animals"", ""People have unique favorite book genres""], ""rows"": [[""1"", ""eric"", ""water"", ""basketball"", ""horse"", ""science fiction""], [""2"", ""arnold"", ""tea"", ""tennis"", ""cat"", ""mystery""], [""3"", ""peter"", ""milk"", ""soccer"", ""bird"", ""romance""]]}",16
lgp-test-4x3-10,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet"", ""People use unique phone models""], ""rows"": [[""1"", ""arnold"", ""bird"", ""google pixel 6""], [""2"", ""eric"", ""cat"", ""oneplus 9""], [""3"", ""peter"", ""dog"", ""iphone 13""], [""4"", ""alice"", ""fish"", ""samsung galaxy s21""]]}",15
lgp-test-5x6-30,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet"", ""Everyone has a unique favorite cigar"", ""Everyone has a favorite smoothie"", ""People use unique phone models"", ""People have unique favorite sports""], ""rows"": [[""1"", ""eric"", ""cat"", ""blends"", ""desert"", ""samsung galaxy s21"", ""swimming""], [""2"", ""alice"", ""bird"", ""prince"", ""dragonfruit"", ""iphone 13"", ""baseball""], [""3"", ""peter"", ""dog"", ""dunhill"", ""cherry"", ""google pixel 6"", ""basketball""], [""4"", ""bob"", ""hamster"", ""blue master"", ""lime"", ""huawei p50"", ""tennis""], [""5"", ""arnold"", ""fish"", ""pall mall"", ""watermelon"", ""oneplus 9"", ""soccer""]]}",1480
lgp-test-3x5-30,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""People have unique favorite sports"", ""Everyone has a unique favorite cigar"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""arnold"", ""classical"", ""soccer"", ""pall mall"", ""janelle""], [""2"", ""eric"", ""rock"", ""basketball"", ""prince"", ""holly""], [""3"", ""peter"", ""pop"", ""tennis"", ""blue master"", ""aniya""]]}",18
lgp-test-4x3-27,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""People have unique favorite sports""], ""rows"": [[""1"", ""peter"", ""mystery"", ""soccer""], [""2"", ""alice"", ""science fiction"", ""swimming""], [""3"", ""arnold"", ""romance"", ""tennis""], [""4"", ""eric"", ""fantasy"", ""basketball""]]}",40
lgp-test-5x2-22,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models""], ""rows"": [[""1"", ""alice"", ""huawei p50""], [""2"", ""arnold"", ""oneplus 9""], [""3"", ""eric"", ""google pixel 6""], [""4"", ""peter"", ""iphone 13""], [""5"", ""bob"", ""samsung galaxy s21""]]}",38
lgp-test-4x3-36,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""alice"", ""colonial"", ""coffee""], [""2"", ""arnold"", ""ranch"", ""tea""], [""3"", ""eric"", ""craftsman"", ""water""], [""4"", ""peter"", ""victorian"", ""milk""]]}",13
lgp-test-5x2-14,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch""], ""rows"": [[""1"", ""eric"", ""stir fry""], [""2"", ""bob"", ""grilled cheese""], [""3"", ""alice"", ""spaghetti""], [""4"", ""peter"", ""pizza""], [""5"", ""arnold"", ""stew""]]}",98
lgp-test-4x5-34,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person has a unique favorite drink"", ""Each mother is accompanied by their child"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""eric"", ""short"", ""milk"", ""bella"", ""janelle""], [""2"", ""arnold"", ""tall"", ""tea"", ""samantha"", ""aniya""], [""3"", ""peter"", ""average"", ""coffee"", ""meredith"", ""holly""], [""4"", ""alice"", ""very short"", ""water"", ""fred"", ""kailyn""]]}",97
lgp-test-3x6-5,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has an occupation"", ""Each person has a favorite color"", ""They all have a unique favorite flower"", ""Everyone has something unique for lunch"", ""People have unique heights""], ""rows"": [[""1"", ""eric"", ""doctor"", ""white"", ""carnations"", ""spaghetti"", ""average""], [""2"", ""arnold"", ""engineer"", ""yellow"", ""lilies"", ""pizza"", ""short""], [""3"", ""peter"", ""teacher"", ""red"", ""daffodils"", ""grilled cheese"", ""very short""]]}",23
lgp-test-5x6-10,"{""header"": [""House"", ""Each person has a unique name"", ""The people are of nationalities"", ""Each person has a unique hobby"", ""Everyone has a favorite smoothie"", ""People have unique hair colors"", ""People have unique favorite sports""], ""rows"": [[""1"", ""bob"", ""german"", ""cooking"", ""watermelon"", ""blonde"", ""swimming""], [""2"", ""eric"", ""norwegian"", ""painting"", ""desert"", ""red"", ""basketball""], [""3"", ""peter"", ""swede"", ""photography"", ""cherry"", ""black"", ""baseball""], [""4"", ""alice"", ""brit"", ""gardening"", ""dragonfruit"", ""gray"", ""soccer""], [""5"", ""arnold"", ""dane"", ""knitting"", ""lime"", ""brown"", ""tennis""]]}",27383
lgp-test-5x2-30,"{""header"": [""House"", ""Each person has a unique name"", ""The people keep unique animals""], ""rows"": [[""1"", ""alice"", ""fish""], [""2"", ""bob"", ""horse""], [""3"", ""eric"", ""bird""], [""4"", ""arnold"", ""cat""], [""5"", ""peter"", ""dog""]]}",33
lgp-test-6x5-20,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""Each person has a unique favorite drink"", ""People have unique heights"", ""Each person has a unique birthday month""], ""rows"": [[""1"", ""eric"", ""grilled cheese"", ""root beer"", ""tall"", ""may""], [""2"", ""arnold"", ""stew"", ""water"", ""very tall"", ""sept""], [""3"", ""peter"", ""soup"", ""milk"", ""short"", ""jan""], [""4"", ""bob"", ""pizza"", ""tea"", ""super tall"", ""feb""], [""5"", ""carol"", ""spaghetti"", ""coffee"", ""very short"", ""mar""], [""6"", ""alice"", ""stir fry"", ""boba tea"", ""average"", ""april""]]}",1106
lgp-test-5x6-37,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique hobby"", ""People have unique favorite sports"", ""Each person lives in a unique style of house"", ""Each mother is accompanied by their child"", ""People have unique heights""], ""rows"": [[""1"", ""eric"", ""knitting"", ""swimming"", ""craftsman"", ""meredith"", ""average""], [""2"", ""alice"", ""gardening"", ""soccer"", ""ranch"", ""timothy"", ""tall""], [""3"", ""arnold"", ""cooking"", ""tennis"", ""modern"", ""samantha"", ""very short""], [""4"", ""peter"", ""photography"", ""baseball"", ""colonial"", ""bella"", ""very tall""], [""5"", ""bob"", ""painting"", ""basketball"", ""victorian"", ""fred"", ""short""]]}",388
lgp-test-4x4-16,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""The people keep unique animals"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""alice"", ""yellow"", ""fish"", ""high school""], [""2"", ""eric"", ""green"", ""cat"", ""bachelor""], [""3"", ""peter"", ""white"", ""bird"", ""associate""], [""4"", ""arnold"", ""red"", ""horse"", ""master""]]}",31
lgp-test-6x5-4,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""Each person has a favorite color"", ""The people are of nationalities"", ""Each person has a unique birthday month""], ""rows"": [[""1"", ""carol"", ""bachelor"", ""green"", ""brit"", ""may""], [""2"", ""peter"", ""trade school"", ""purple"", ""norwegian"", ""sept""], [""3"", ""arnold"", ""doctorate"", ""red"", ""dane"", ""jan""], [""4"", ""bob"", ""master"", ""white"", ""german"", ""feb""], [""5"", ""eric"", ""associate"", ""blue"", ""chinese"", ""april""], [""6"", ""alice"", ""high school"", ""yellow"", ""swede"", ""mar""]]}",2406
lgp-test-3x6-9,"{""header"": [""House"", ""Each person has a unique name"", ""People own unique car models"", ""Each person lives in a unique style of house"", ""Each person has a unique type of pet"", ""Each person has an occupation"", ""Each person prefers a unique type of vacation""], ""rows"": [[""1"", ""eric"", ""tesla model 3"", ""ranch"", ""fish"", ""doctor"", ""city""], [""2"", ""peter"", ""toyota camry"", ""victorian"", ""dog"", ""engineer"", ""beach""], [""3"", ""arnold"", ""ford f150"", ""colonial"", ""cat"", ""teacher"", ""mountain""]]}",25
lgp-test-4x6-36,"{""header"": [""House"", ""Each person has a unique name"", ""Each person lives in a unique style of house"", ""People have unique favorite music genres"", ""They all have a unique favorite flower"", ""Each person prefers a unique type of vacation"", ""Each person has a favorite color""], ""rows"": [[""1"", ""eric"", ""victorian"", ""jazz"", ""lilies"", ""mountain"", ""yellow""], [""2"", ""peter"", ""colonial"", ""classical"", ""daffodils"", ""cruise"", ""white""], [""3"", ""arnold"", ""ranch"", ""rock"", ""roses"", ""city"", ""green""], [""4"", ""alice"", ""craftsman"", ""pop"", ""carnations"", ""beach"", ""red""]]}",37
lgp-test-5x5-0,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""Everyone has a favorite smoothie"", ""People have unique favorite book genres"", ""Each person has a unique hobby""], ""rows"": [[""1"", ""bob"", ""stew"", ""lime"", ""science fiction"", ""photography""], [""2"", ""eric"", ""grilled cheese"", ""watermelon"", ""fantasy"", ""cooking""], [""3"", ""arnold"", ""spaghetti"", ""dragonfruit"", ""mystery"", ""gardening""], [""4"", ""peter"", ""stir fry"", ""desert"", ""romance"", ""painting""], [""5"", ""alice"", ""pizza"", ""cherry"", ""biography"", ""knitting""]]}",2811
lgp-test-2x3-13,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""arnold"", ""associate"", ""holly""], [""2"", ""eric"", ""high school"", ""aniya""]]}",8
lgp-test-4x2-26,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has an occupation""], ""rows"": [[""1"", ""eric"", ""doctor""], [""2"", ""arnold"", ""engineer""], [""3"", ""alice"", ""artist""], [""4"", ""peter"", ""teacher""]]}",9
lgp-test-2x3-16,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""People own unique car models""], ""rows"": [[""1"", ""eric"", ""grilled cheese"", ""tesla model 3""], [""2"", ""arnold"", ""pizza"", ""ford f150""]]}",8
lgp-test-3x3-24,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a favorite color"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""peter"", ""yellow"", ""bella""], [""2"", ""arnold"", ""red"", ""fred""], [""3"", ""eric"", ""white"", ""meredith""]]}",30
lgp-test-5x6-12,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person has a unique hobby"", ""Each person prefers a unique type of vacation"", ""People own unique car models"", ""Each person has a unique level of education""], ""rows"": [[""1"", ""bob"", ""very tall"", ""painting"", ""mountain"", ""toyota camry"", ""bachelor""], [""2"", ""peter"", ""tall"", ""cooking"", ""camping"", ""tesla model 3"", ""doctorate""], [""3"", ""eric"", ""average"", ""gardening"", ""cruise"", ""honda civic"", ""master""], [""4"", ""arnold"", ""short"", ""knitting"", ""city"", ""bmw 3 series"", ""associate""], [""5"", ""alice"", ""very short"", ""photography"", ""beach"", ""ford f150"", ""high school""]]}",696
lgp-test-2x6-25,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique birthday month"", ""Each person has a favorite color"", ""The people are of nationalities"", ""People have unique hair colors"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""arnold"", ""sept"", ""red"", ""dane"", ""black"", ""fred""], [""2"", ""eric"", ""april"", ""yellow"", ""brit"", ""brown"", ""bella""]]}",13
lgp-test-4x3-26,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has something unique for lunch"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""peter"", ""grilled cheese"", ""pop""], [""2"", ""alice"", ""stew"", ""classical""], [""3"", ""arnold"", ""pizza"", ""rock""], [""4"", ""eric"", ""spaghetti"", ""jazz""]]}",25
lgp-test-5x6-29,"{""header"": [""House"", ""Each person has a unique name"", ""Each person prefers a unique type of vacation"", ""Each mother is accompanied by their child"", ""Each person has a unique type of pet"", ""People have unique favorite sports"", ""Each person has a unique favorite drink""], ""rows"": [[""1"", ""eric"", ""cruise"", ""timothy"", ""bird"", ""baseball"", ""milk""], [""2"", ""bob"", ""beach"", ""fred"", ""dog"", ""tennis"", ""coffee""], [""3"", ""arnold"", ""city"", ""bella"", ""cat"", ""basketball"", ""root beer""], [""4"", ""alice"", ""mountain"", ""samantha"", ""fish"", ""soccer"", ""tea""], [""5"", ""peter"", ""camping"", ""meredith"", ""hamster"", ""swimming"", ""water""]]}",45
lgp-test-2x6-14,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""Each person has a unique type of pet"", ""The people are of nationalities"", ""Each person has a favorite color"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""eric"", ""very short"", ""cat"", ""dane"", ""yellow"", ""holly""], [""2"", ""arnold"", ""short"", ""dog"", ""brit"", ""red"", ""aniya""]]}",13
lgp-test-2x5-30,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights"", ""They all have a unique favorite flower"", ""People have unique hair colors"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""arnold"", ""short"", ""daffodils"", ""brown"", ""prince""], [""2"", ""eric"", ""very short"", ""carnations"", ""black"", ""pall mall""]]}",11
lgp-test-5x5-21,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique type of pet"", ""People have unique favorite book genres"", ""People have unique favorite sports"", ""Everyone has a unique favorite cigar""], ""rows"": [[""1"", ""peter"", ""fish"", ""fantasy"", ""swimming"", ""prince""], [""2"", ""alice"", ""bird"", ""biography"", ""baseball"", ""pall mall""], [""3"", ""bob"", ""hamster"", ""romance"", ""soccer"", ""blends""], [""4"", ""eric"", ""cat"", ""mystery"", ""basketball"", ""blue master""], [""5"", ""arnold"", ""dog"", ""science fiction"", ""tennis"", ""dunhill""]]}",1322
lgp-test-2x4-33,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a unique favorite cigar"", ""They all have a unique favorite flower"", ""People have unique favorite sports""], ""rows"": [[""1"", ""arnold"", ""prince"", ""daffodils"", ""basketball""], [""2"", ""eric"", ""pall mall"", ""carnations"", ""soccer""]]}",10
lgp-test-4x2-28,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique hair colors""], ""rows"": [[""1"", ""alice"", ""red""], [""2"", ""arnold"", ""black""], [""3"", ""eric"", ""brown""], [""4"", ""peter"", ""blonde""]]}",17
lgp-test-6x6-5,,0
lgp-test-2x2-18,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights""], ""rows"": [[""1"", ""eric"", ""short""], [""2"", ""arnold"", ""very short""]]}",6
lgp-test-2x6-29,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite music genres"", ""Each person has a unique type of pet"", ""Everyone has something unique for lunch"", ""The people are of nationalities"", ""Each person has a unique birthday month""], ""rows"": [[""1"", ""eric"", ""rock"", ""dog"", ""pizza"", ""dane"", ""april""], [""2"", ""arnold"", ""pop"", ""cat"", ""grilled cheese"", ""brit"", ""sept""]]}",13
lgp-test-4x2-14,"{""header"": [""House"", ""Each person has a unique name"", ""The mothers' names in different houses are unique""], ""rows"": [[""1"", ""alice"", ""kailyn""], [""2"", ""peter"", ""aniya""], [""3"", ""arnold"", ""holly""], [""4"", ""eric"", ""janelle""]]}",33
lgp-test-4x6-29,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique birthday month"", ""People have unique hair colors"", ""Each person lives in a unique style of house"", ""Each person has an occupation"", ""Everyone has a favorite smoothie""], ""rows"": [[""1"", ""peter"", ""sept"", ""blonde"", ""craftsman"", ""doctor"", ""desert""], [""2"", ""eric"", ""april"", ""brown"", ""ranch"", ""artist"", ""cherry""], [""3"", ""arnold"", ""jan"", ""red"", ""colonial"", ""teacher"", ""dragonfruit""], [""4"", ""alice"", ""feb"", ""black"", ""victorian"", ""engineer"", ""watermelon""]]}",293
lgp-test-5x3-26,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite book genres"", ""Each mother is accompanied by their child""], ""rows"": [[""1"", ""eric"", ""fantasy"", ""samantha""], [""2"", ""arnold"", ""biography"", ""meredith""], [""3"", ""alice"", ""science fiction"", ""timothy""], [""4"", ""bob"", ""mystery"", ""fred""], [""5"", ""peter"", ""romance"", ""bella""]]}",16
lgp-test-5x6-3,"{""header"": [""House"", ""Each person has a unique name"", ""Everyone has a unique favorite cigar"", ""Each person has an occupation"", ""People own unique car models"", ""Everyone has a favorite smoothie"", ""Everyone has something unique for lunch""], ""rows"": [[""1"", ""bob"", ""dunhill"", ""artist"", ""bmw 3 series"", ""desert"", ""stir fry""], [""2"", ""arnold"", ""blends"", ""lawyer"", ""honda civic"", ""dragonfruit"", ""spaghetti""], [""3"", ""alice"", ""blue master"", ""teacher"", ""ford f150"", ""lime"", ""grilled cheese""], [""4"", ""eric"", ""pall mall"", ""doctor"", ""tesla model 3"", ""cherry"", ""stew""], [""5"", ""peter"", ""prince"", ""engineer"", ""toyota camry"", ""watermelon"", ""pizza""]]}",1677
lgp-test-3x2-21,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique heights""], ""rows"": [[""1"", ""peter"", ""very short""], [""2"", ""arnold"", ""short""], [""3"", ""eric"", ""average""]]}",8
lgp-test-4x6-26,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has a unique level of education"", ""The mothers' names in different houses are unique"", ""The people keep unique animals"", ""Each person has a unique birthday month"", ""People have unique favorite music genres""], ""rows"": [[""1"", ""arnold"", ""master"", ""janelle"", ""horse"", ""feb"", ""classical""], [""2"", ""peter"", ""bachelor"", ""holly"", ""cat"", ""sept"", ""rock""], [""3"", ""alice"", ""associate"", ""aniya"", ""fish"", ""jan"", ""pop""], [""4"", ""eric"", ""high school"", ""kailyn"", ""bird"", ""april"", ""jazz""]]}",143
lgp-test-4x6-21,"{""header"": [""House"", ""Each person has a unique name"", ""They all have a unique favorite flower"", ""Each person has a unique hobby"", ""Each person has a unique type of pet"", ""Each person has a favorite color"", ""Each person lives in a unique style of house""], ""rows"": [[""1"", ""peter"", ""daffodils"", ""gardening"", ""bird"", ""yellow"", ""ranch""], [""2"", ""arnold"", ""carnations"", ""painting"", ""fish"", ""white"", ""craftsman""], [""3"", ""alice"", ""roses"", ""photography"", ""dog"", ""red"", ""colonial""], [""4"", ""eric"", ""lilies"", ""cooking"", ""cat"", ""green"", ""victorian""]]}",195
lgp-test-3x4-19,"{""header"": [""House"", ""Each person has a unique name"", ""Each person has an occupation"", ""Each person has a unique favorite drink"", ""People use unique phone models""], ""rows"": [[""1"", ""eric"", ""engineer"", ""milk"", ""samsung galaxy s21""], [""2"", ""arnold"", ""teacher"", ""water"", ""google pixel 6""], [""3"", ""peter"", ""doctor"", ""tea"", ""iphone 13""]]}",24
lgp-test-5x2-38,"{""header"": [""House"", ""Each person has a unique name"", ""People use unique phone models""], ""rows"": [[""1"", ""peter"", ""oneplus 9""], [""2"", ""alice"", ""huawei p50""], [""3"", ""bob"", ""iphone 13""], [""4"", ""arnold"", ""samsung galaxy s21""], [""5"", ""eric"", ""google pixel 6""]]}",24
lgp-test-3x6-26,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""Each person lives in a unique style of house"", ""Each person has a unique type of pet"", ""Each person has a unique birthday month"", ""The people are of nationalities""], ""rows"": [[""1"", ""eric"", ""tennis"", ""ranch"", ""fish"", ""sept"", ""dane""], [""2"", ""arnold"", ""basketball"", ""colonial"", ""cat"", ""jan"", ""brit""], [""3"", ""peter"", ""soccer"", ""victorian"", ""dog"", ""april"", ""swede""]]}",26
lgp-test-3x6-4,"{""header"": [""House"", ""Each person has a unique name"", ""People have unique favorite sports"", ""Each person has a unique birthday month"", ""Each person prefers a unique type of vacation"", ""People have unique heights"", ""They all have a unique favorite flower""], ""rows"": [[""1"", ""peter"", ""soccer"", ""jan"", ""city"", ""very short"", ""daffodils""], [""2"", ""arnold"", ""tennis"", ""sept"", ""mountain"", ""average"", ""carnations""], [""3"", ""eric"", ""basketball"", ""april"", ""beach"", ""short"", ""lilies""]]}",19
lgp-test-6x3-39,,4597
